Point	Potential(V)	Current(milliAmp)
1	0.000119120814	-0.504648196511
2	0.004256439395	-0.49582257634
3	0.00933050923	-0.488888064865
4	0.014170392416	-0.482899224153
5	0.019244460389	-0.476279994473
6	0.024318531156	-0.469660764793
7	0.029314536601	-0.463671924081
8	0.034232482314	-0.457367859781
9	0.039228491485	-0.451063824585
10	0.044224496931	-0.445074983872
11	0.049220506102	-0.43908614316
12	0.054216511548	-0.432151718996
13	0.059212520719	-0.425532460213
14	0.064286589622	-0.418282812461
15	0.069204539061	-0.410717970226
16	0.074122481048	-0.403153127991
17	0.079196549952	-0.395273062168
18	0.084192559123	-0.387393025449
19	0.089188568294	-0.378882570658
20	0.094184577465	-0.369741697796
21	0.099258646369	-0.360916048521
22	0.104176588356	-0.351144786691
23	0.109172597528	-0.341058330378
24	0.114168606699	-0.330341455992
25	0.119242675602	-0.318678998156
26	0.124238684773	-0.307646929286
27	0.12915661931	-0.295984442346
28	0.134152635932	-0.283691566437
29	0.139226704836	-0.271083466941
30	0.144144654274	-0.257845007582
31	0.149218723178	-0.244291324634
32	0.154214724898	-0.230107223615
33	0.159210726619	-0.215292719076
34	0.164128676057	-0.200163034606
35	0.169202744961	-0.185033335583
36	0.174198746681	-0.169903636561
37	0.179194763303	-0.153513130499
38	0.184190765023	-0.136807415402
39	0.189186781645	-0.120416923892
40	0.194182783365	-0.10402641783
41	0.199256852269	-0.087005508249
42	0.204174801707	-0.067477943958
43	0.209170803428	-0.053207942983
44	0.214166805148	-0.036158879084
45	0.219084754586	-0.019109815184
46	0.224236890674	-0.002154429012
47	0.228842586279	0.013820908862
48	0.233838587999	0.030580984458
49	0.238834604621	0.047071862355
50	0.243752539158	0.063255531131
51	0.248826622963	0.079182667832
52	0.253822624683	0.094805771369
53	0.256554812193	0.102960948425
54	0.264204949141	0.125089034555
55	0.269122898579	0.139702518936
56	0.274196952581	0.153847620822
57	0.279192984104	0.167586797033
58	0.284188985825	0.180888804607
59	0.289184987545	0.193816114916
60	0.294180989265	0.206368727959
61	0.299176990986	0.218546629185
62	0.304172992706	0.230537174502
63	0.309169024229	0.242309150053
64	0.314165025949	0.253675185377
65	0.31916102767	0.264635280473
66	0.324078977108	0.275408063317
67	0.329153031111	0.28589979047
68	0.334149062634	0.296141719446
69	0.339223116636	0.306196277961
70	0.344219118357	0.31621963717
71	0.349215120077	0.325961969793
72	0.3542111516	0.336422468536
73	0.35920715332	0.345665175701
74	0.364125102758	0.354782998329
75	0.369121104479	0.36352610914
76	0.374195158482	0.372300448362
77	0.37911310792	0.381636840757
78	0.384187191725	0.390161352698
79	0.389105141163	0.398623436922
80	0.394101142883	0.40755388909
81	0.399175196886	0.415891088778
82	0.404171228409	0.423791090725
83	0.409167230129	0.431597465649
84	0.41416323185	0.439591152826
85	0.41915923357	0.447491183877
86	0.424155235291	0.455422414234
87	0.429151237011	0.462854077341
88	0.434147268534	0.470535509521
89	0.439143270254	0.478029600345
90	0.444139271975	0.485242664581
91	0.44921335578	0.492924125865
92	0.454131275415	0.499824935105
93	0.459205359221	0.506257347297
94	0.464201360941	0.512752216309
95	0.469119310379	0.519184686709
96	0.474193394184	0.525773211848
97	0.479189395905	0.531893398147
98	0.484107345343	0.53798238514
99	0.489103347063	0.544289883692
100	0.494177401066	0.55022269953
101	0.499173402786	0.555812031962
102	0.504169404507	0.56018360192
103	0.509165406227	0.566241331398
104	0.514161467552	0.572049233597
105	0.519157469273	0.577857194003
106	0.524153470993	0.583259155974
107	0.529149472713	0.588036666159
108	0.534067392349	0.593001488596
109	0.539141476154	0.597591628321
110	0.544137477875	0.60130743077
111	0.549133479595	0.605647801422
112	0.554129481316	0.611924100667
113	0.559125483036	0.61529641971
114	0.564121484756	0.61907467898
115	0.569117546082	0.623539905064
116	0.574113547802	0.627349421848
117	0.579109549522	0.630815455224
118	0.584183573723	0.634250231087
119	0.589101552963	0.637560151517
120	0.594097554684	0.6410573842
121	0.599171638489	0.645834836178
122	0.604167640209	0.649456982501
123	0.60916364193	0.65239216201
124	0.61415964365	0.653984665405
125	0.619077563286	0.656513962895
126	0.624151647091	0.658980745357
127	0.629147648811	0.661135301925
128	0.634143650532	0.664226594381
129	0.639139711857	0.667036918458
130	0.644057631493	0.669410044793
131	0.649131715298	0.671221117955
132	0.654127717018	0.675061834045
133	0.659123718739	0.676185940392
134	0.664119720459	0.678652722854
135	0.669115722179	0.680214026943
136	0.6741117239	0.681556703057
137	0.67926388979	0.683398975525
138	0.684103727341	0.6849290221
139	0.689099729061	0.686708895955
140	0.694173812866	0.686271756422
141	0.699169814587	0.686240498908
142	0.704165816307	0.690955552272
143	0.709239900112	0.693984387908
144	0.714079797268	0.695608148817
145	0.719153881073	0.69598283153
146	0.724149882793	0.698231044225
147	0.729145884514	0.701072567608
148	0.734141886234	0.701509707142
149	0.739215970039	0.70282118395
150	0.744133889675	0.703476951458
151	0.749129891396	0.704694713932
152	0.754125893116	0.706099846866
153	0.759199976921	0.707317667548
154	0.764117956161	0.708223204128
155	0.769113957882	0.708691542968
156	0.774109959602	0.707848463207
157	0.779105961323	0.709222396836
158	0.784101963043	0.709284853656
159	0.789176046848	0.710346503183
160	0.794172048569	0.713656423613
161	0.799168050289	0.71368762292
162	0.80416405201	0.714187219273
163	0.80916005373	0.715373782441
164	0.814077973366	0.716435490176
165	0.819152057171	0.717746908776
166	0.824148058891	0.719557981938
167	0.829144060612	0.717746908776
168	0.834140121937	0.718152849004
169	0.839214146137	0.719870266039
170	0.844210147858	0.719714153092
171	0.849128127098	0.720463518519
172	0.854124128819	0.720369862393
173	0.859198212624	0.720182491932
174	0.864194214344	0.718652445357
175	0.869190216064	0.718683702871
176	0.8741081357	0.723586068489
177	0.879182219505	0.72467897553
178	0.884100139141	0.724241835997
179	0.889174222946	0.724273035303
180	0.894170224667	0.724960002117
181	0.899088203907	0.725865538698
182	0.904162287712	0.727551698219
183	0.909158289433	0.726302678231
184	0.914154291153	0.728675804567
185	0.919228315353	0.72851969162
186	0.924068212509	0.726521247998
187	0.929220378399	0.72773906868
188	0.934138298035	0.7284572348
189	0.939134299755	0.728613347746
190	0.94420838356	0.729331572074
191	0.949126303196	0.729425228201
192	0.954122304916	0.728769518901
193	0.959118366241	0.729269115254
194	0.964192390442	0.730205851141
195	0.969110369682	0.730424420908
196	0.974106371403	0.730112195015
197	0.979180455208	0.730580592062
198	0.984176456928	0.731267500669
199	0.989094376564	0.730799161829
200	0.994090378284	0.731517327949
201	0.99916446209	0.731548527256
202	1.00423848629	0.732735090423
203	1.009234547615	0.734452507459
204	1.014152526855	0.734327593818
205	1.019148468971	0.734202738386
206	1.024144530296	0.734327593818
207	1.029140472412	0.732984917704
208	1.034136533737	0.733297201805
209	1.039132475853	0.73301611701
210	1.044128537178	0.733734341338
211	1.049202561378	0.734920904506
212	1.054198622704	0.735857640393
213	1.059194564819	0.735389301553
214	1.064190626144	0.735014560632
215	1.06918656826	0.735326844733
216	1.074104547501	0.735014560632
217	1.07917869091	0.734265136998
218	1.084174633026	0.735045818146
219	1.089170694351	0.73607621016
220	1.094166636467	0.736825633794
221	1.099084615707	0.736450951081
222	1.104158639908	0.736544607207
223	1.109154701233	0.737169117201
224	1.114150643349	0.736794434488
225	1.119146704674	0.737918540835
226	1.124220728874	0.737668713555
227	1.129138708115	0.738543050829
228	1.13413476944	0.737824826501
229	1.139130711555	0.737356487662
230	1.144048690796	0.737356487662
231	1.149044632912	0.735108274966
232	1.154118776321	0.735701527447
233	1.159114718437	0.736981746741
234	1.164110779762	0.738168309908
235	1.169106721878	0.738418137189
236	1.174180865288	0.738605507649
237	1.179176807404	0.73957350105
238	1.184172868729	0.739073846489
239	1.189168810844	0.73938613059
240	1.194164872169	0.740073097404
241	1.199160933495	0.739417329896
242	1.204078793526	0.739354873076
243	1.209152936935	0.738543050829
244	1.214148879051	0.737356487662
245	1.219144940376	0.739698356483
246	1.224140882492	0.741072290111
247	1.229136943817	0.740822521038
248	1.234132885933	0.74244622374
249	1.239207029343	0.742133939639
250	1.244046926498	0.74257113738
