Point	Potential(V)	Current(milliAmp)
1	0.000119120814	-0.600469589699
2	0.004334501922	-0.590067938901
3	0.009252446704	-0.581557513215
4	0.014170392416	-0.573362223804
5	0.019166398793	-0.563906156458
6	0.024162406102	-0.556341314223
7	0.029236476868	-0.546885246877
8	0.034232482314	-0.538690015674
9	0.039306551218	-0.530179589987
10	0.044146433473	-0.521038717125
11	0.049220506102	-0.511267455295
12	0.054216511548	-0.502126582433
13	0.059212520719	-0.49298570957
14	0.06420852989	-0.483529642224
15	0.069204539061	-0.473443185911
16	0.074200548232	-0.463041506009
17	0.079196549952	-0.452639855212
18	0.084270618856	-0.440977368271
19	0.089110501111	-0.42931488133
20	0.094184577465	-0.417967617977
21	0.099102519453	-0.406305160141
22	0.104098528624	-0.393697060645
23	0.109172597528	-0.380773795769
24	0.114090539515	-0.367850501789
25	0.119164608419	-0.354296818841
26	0.12416061759	-0.340427912306
27	0.12915661931	-0.326243840391
28	0.134152635932	-0.311744544888
29	0.139226704836	-0.296930054901
30	0.144144654274	-0.281485146843
31	0.149218723178	-0.265725044301
32	0.154136657715	-0.249649747275
33	0.159132674336	-0.233259241213
34	0.164128676057	-0.216238331632
35	0.169124677777	-0.19921742205
36	0.174120694399	-0.182196512469
37	0.179194763303	-0.164860408404
38	0.184190765023	-0.147209095303
39	0.189186781645	-0.129557782202
40	0.194182783365	-0.111591267341
41	0.199178785086	-0.093624752481
42	0.204174801707	-0.07597343938
43	0.209170803428	-0.058172779973
44	0.214166805148	-0.040405531763
45	0.21916282177	-0.022638285373
46	0.22415882349	-0.005058390343
47	0.228920653462	0.011429779079
48	0.233760520816	0.028725087759
49	0.238834604621	0.045716358727
50	0.243752539158	0.06237825437
51	0.248826622963	0.078777280578
52	0.253822624683	0.094888113381
53	0.256320625544	0.102967278508
54	0.264126896858	0.126431725221
55	0.269200950861	0.141357464599
56	0.274196952581	0.156220747158
57	0.27911490202	0.170584433363
58	0.28411090374	0.184635850019
59	0.289184987545	0.19837502623
60	0.294102936983	0.211770719034
61	0.299176990986	0.224916613661
62	0.304172992706	0.237937594648
63	0.309169024229	0.250708777457
64	0.314165025949	0.263292604359
65	0.31916102767	0.275283149676
66	0.32415702939	0.287180009764
67	0.329153031111	0.299201812595
68	0.334149062634	0.310880102916
69	0.339145064354	0.322589621646
70	0.344141066074	0.334111769916
71	0.349137067795	0.345540291164
72	0.354133069515	0.356843869668
73	0.35920715332	0.367803993868
74	0.364203155041	0.378889002604
75	0.369199156761	0.390036468161
76	0.374195158482	0.401183933718
77	0.379191190004	0.411925459048
78	0.384187191725	0.422479643021
79	0.389183193445	0.433252396761
80	0.394179195166	0.44405637891
81	0.399253278971	0.454454449937
82	0.404171228409	0.465164746856
83	0.409167230129	0.475999957416
84	0.41416323185	0.486241886392
85	0.41915923357	0.496671185829
86	0.424155235291	0.506881857291
87	0.429151237011	0.517092586961
88	0.434147268534	0.527865311597
89	0.439143270254	0.53870055126
90	0.444217324257	0.546600553207
91	0.449135273695	0.556967395823
92	0.4542093575	0.567053211853
93	0.459205359221	0.576733087655
94	0.464123308659	0.58647536207
95	0.469119310379	0.595280958805
96	0.474115312099	0.604180211667
97	0.47911131382	0.614234770183
98	0.484185397625	0.623290135991
99	0.489181399345	0.632688985206
100	0.494099348783	0.641213497147
101	0.499173402786	0.649675552268
102	0.504169404507	0.658106408082
103	0.509165406227	0.666537263896
104	0.514161467552	0.675280403811
105	0.519157469273	0.683555146679
106	0.524153470993	0.690237386152
107	0.529149472713	0.698855554219
108	0.534067392349	0.707286410034
109	0.539219558239	0.714499503374
110	0.544215559959	0.721993565094
111	0.549133479595	0.729050545488
112	0.554129481316	0.735639070626
113	0.559203565121	0.743820157368
114	0.564121484756	0.749971542973
115	0.569117546082	0.756247842219
116	0.574191570282	0.762711511925
117	0.579187572002	0.769893347751
118	0.584183573723	0.775607593823
119	0.589101552963	0.781384296715
120	0.594175636768	0.788160192315
121	0.599171638489	0.795435684267
122	0.604167640209	0.800900161266
123	0.60916364193	0.803804083262
124	0.614081561565	0.810361409094
125	0.61915564537	0.814295839518
126	0.624151647091	0.819729059003
127	0.629147648811	0.824537768494
128	0.634143650532	0.830127100926
129	0.639217734337	0.829939730465
130	0.644135713577	0.836902996525
131	0.649209737778	0.842742156237
132	0.654205739498	0.847176183015
133	0.659123718739	0.851297925692
134	0.664197802544	0.854639045428
135	0.669193804264	0.858198734932
136	0.674189805984	0.862414133735
137	0.67926388979	0.866036280058
138	0.684181809425	0.866629590746
139	0.68925589323	0.872562406585
140	0.694173812866	0.875310273841
141	0.699169814587	0.879150989931
142	0.704165816307	0.881555315573
143	0.709161877632	0.881742686033
144	0.714157879353	0.886801164597
145	0.719231903553	0.888018985279
146	0.724149882793	0.894107914064
147	0.729145884514	0.894357741345
148	0.734219968319	0.894326483831
149	0.739215970039	0.898104801308
150	0.74421197176	0.902382656932
151	0.74920797348	0.904755783267
152	0.754203975201	0.907128909603
153	0.759278059006	0.907753419597
154	0.764195978642	0.909720605705
155	0.769113957882	0.912780698854
156	0.774187982082	0.915715878364
157	0.779183983803	0.915872049518
158	0.784101963043	0.917370838579
159	0.789176046848	0.919462938327
160	0.794172048569	0.921055441722
161	0.799168050289	0.920836871956
162	0.80416405201	0.923928164411
163	0.80916005373	0.925864151213
164	0.814234137535	0.927425397094
165	0.819230139256	0.929704867303
166	0.824148058891	0.930017151404
167	0.829222142696	0.929236470256
168	0.834140121937	0.930579204578
169	0.839214146137	0.93304598704
170	0.844210147858	0.934013980441
171	0.849128127098	0.935294199735
172	0.854202210903	0.935918709729
173	0.859198212624	0.937885954045
174	0.864116132259	0.938978802878
175	0.869268298149	0.939759425819
176	0.8741081357	0.94007170992
177	0.879182219505	0.941070902627
178	0.884178221226	0.943350372836
179	0.889174222946	0.944974075537
180	0.894248306751	0.942351180129
181	0.899244308472	0.946160638705
182	0.904162287712	0.945504929405
183	0.909236311913	0.946941319853
184	0.914154291153	0.945442472585
185	0.919228315353	0.945348816458
186	0.924146294594	0.945817155298
187	0.929142296314	0.948721135501
188	0.934138298035	0.94859622186
189	0.939134299755	0.950688321609
190	0.944130301476	0.951469002757
191	0.949204385281	0.951094261836
