Point	Potential(mV)	Current(microAmp)
1	499.954044818878	163.152784807608
2	504.325568675995	166.306548635475
3	509.399592876434	168.867030879483
4	514.317572116852	170.709332451224
5	519.391655921936	171.98956629727
6	524.387657642365	172.832660609856
7	529.383659362793	173.332271515392
8	534.301578998566	173.519612872042
9	539.37566280365	173.425942193717
10	544.371664524078	173.082458786666
11	549.367666244507	172.520405612886
12	554.363667964935	171.77099653054
13	559.359669685364	170.834231539629
14	564.433753490448	169.835024280474
15	569.351732730865	168.679674970917
16	574.347734451294	167.430669534951
17	579.343736171722	166.087978868745
18	584.339737892151	164.651602972299
19	589.335739612579	163.152784807608
20	594.331741333008	161.653966642916
21	599.327743053436	160.123920068145
22	604.323744773865	158.562659635209
23	609.397828578949	156.970156240277
24	614.315748214722	155.377667397261
25	619.389832019806	153.785164002329
26	624.385833740234	152.223903569393
27	629.381835460663	150.631400174461
28	634.455919265747	149.070139741525
29	639.373898506165	147.540093166754
30	644.369900226593	146.010046591982
31	649.365901947021	144.511228427291
32	654.439985752106	143.04363867268
33	659.357905387878	141.607262776233
34	664.353907108307	140.170901431702
35	669.427990913391	138.765753945336
36	674.345910549164	137.42306327913
37	679.341912269592	136.080372612923
38	684.415996074677	134.737681946717
39	689.333915710449	133.457448100671
40	694.407999515533	132.20842811279
41	699.404001235962	130.959408124909
42	704.321980476379	129.772844957188
43	709.396064281464	128.586281789467
44	714.313983917236	127.399718621746
45	719.388067722321	126.30682613235
46	724.305987358093	125.213933642954
47	729.380071163177	124.121055705473
48	734.376072883606	123.059391626157
49	739.372074604034	122.060177091043
50	744.368076324463	121.06096255593
51	749.364078044891	120.061748020817
52	754.438161849976	119.093761895783
53	759.356081485748	118.156996904872
54	764.430165290833	117.251460324042
55	769.426167011261	116.377152153291
56	774.422168731689	115.440394438338
57	779.340147972107	114.597307401709
58	784.336149692535	113.754220365081
59	789.41023349762	112.942361738533
60	794.328153133392	112.161724246107
61	799.402236938477	111.318637209479
62	804.398238658905	110.569228127133
63	809.316158294678	109.819819044787
64	814.390242099762	109.070409962442
65	819.308221340179	108.321000880096
66	824.382245540619	107.634041341953
67	829.378247261047	106.915860669687
68	834.296226501465	106.228901131544
69	839.370310306549	105.573170003481
70	844.366312026978	104.917431599461
71	849.440395832062	104.261700471397
72	854.358315467834	103.605969343334
73	859.432399272919	103.012687759474
74	864.350318908691	102.419406175613
75	869.34632062912	101.826117315795
76	874.342322349548	101.201614597812
77	879.416406154633	100.639554148074
78	884.412407875061	100.077500974294
79	889.40840959549	99.515440524556
80	894.404411315918	98.984608484898
81	899.400413036346	98.422555311117
82	904.39647436142	97.891723271459
83	909.392476081848	97.423340776004
84	914.388477802277	96.892508736346
85	919.384479522705	96.424126240891
86	924.380481243134	95.924522611313
87	929.454565048218	95.456140115857
88	934.37248468399	94.987757620402
89	939.368486404419	94.488153990824
90	944.442570209503	94.050999905448
91	949.438571929932	93.613845820073
92	954.356491565704	93.145463324618
93	959.352552890778	92.708309239242
94	964.348554611206	92.302376287989
95	969.344556331635	91.896443336736
96	974.49666261673	91.459289251361
97	979.414641857147	91.053363576066
98	984.410643577576	90.678659034893
99	989.406645298004	90.27272608364
100	994.402647018433	89.866793132387
101	999.398589134216	89.492088591214
102	995.651662349701	88.524102466181
103	990.655660629272	87.93082088232
104	985.581576824188	87.399988842662
105	980.663597583771	86.900385213085
106	975.667595863342	86.432002717629
107	970.671594142914	85.994848632254
108	965.675592422485	85.557694546878
109	960.601508617401	85.120540461503
110	955.683588981628	84.68337910017
111	950.6875872612	84.246225014795
112	945.613503456116	83.871520473622
113	940.617501735687	83.465594798327
114	935.621500015259	83.059661847074
115	930.62549829483	82.684957305901
116	925.629496574402	82.279024354648
117	920.633494853973	81.935548223555
118	915.715515613556	81.560843682382
119	910.641431808472	81.248588685412
120	905.567407608032	80.873884144239
121	900.727510452271	80.499179603066
122	895.575344562531	80.186924606096
123	890.657424926758	79.812220064923
124	885.661423206329	79.499965067953
125	880.665421485901	79.15648893686
126	875.669419765472	78.84423393989
127	870.673418045044	78.500750532839
128	865.677416324615	78.188502811827
129	860.681354999542	77.813798270654
130	855.607330799103	77.532764407806
131	850.611329078674	77.189288276713
132	845.693349838257	76.877033279743
133	840.619266033173	76.564778282773
134	835.545241832733	76.283751695883
135	830.705344676971	75.971496698912
136	825.631260871887	75.62802056782
137	820.635259151459	75.346986704972
138	815.717339515686	75.034738983959
139	810.643255710602	74.722483986989
140	805.569171905518	74.441450124141
141	800.729274749756	74.097973993048
142	795.655250549316	73.816947406158
143	790.737271308899	73.53591354331
144	785.663187503815	73.223665822297
145	780.667185783386	72.911410825327
146	775.671184062958	72.599155828357
147	770.597100257874	72.286900831386
148	765.679180622101	72.005874244496
149	760.605096817017	71.693619247526
150	755.609095096588	71.412592660636
151	750.61309337616	71.100337663665
152	745.695173740387	70.788082666695
153	740.621089935303	70.475827669725
154	735.625088214874	70.163572672755
155	730.55100440979	69.851317675784
156	725.633084774017	69.507841544692
157	720.637023448944	69.226814957801
158	715.641021728516	68.914559960831
159	710.566997528076	68.539855419658
160	705.649018287659	68.258828832768
161	700.65301656723	67.884124291595
162	695.578932762146	67.603090428747
163	690.582931041718	67.259614297655
164	685.665011405945	66.916130890604
165	680.669009685516	66.603883169591
166	675.594925880432	66.260399762541
167	670.598924160004	65.885695221368
168	665.680944919586	65.510990680195
169	660.606920719147	65.167514549103
170	655.610918998718	64.79281000793
171	650.61491727829	64.418105466757
172	645.618855953217	64.043400925584
173	640.700936317444	63.668696384411
174	635.62685251236	63.262763433158
175	630.630850791931	62.856830481906
176	625.556766986847	62.45090480661
177	620.638847351074	62.013750721235
178	615.642845630646	61.607817769982
179	610.724866390228	61.170663684607
180	605.650842189789	60.702281189151
