Point	Potential(V)	Current(milliAmp)
1	0.000041058287	-0.616860110313
2	0.004178376868	-0.607088848483
3	0.009252446704	-0.597002392169
4	0.014170392416	-0.588491966482
5	0.019166398793	-0.579666288104
6	0.024240467697	-0.570525415242
7	0.029236476868	-0.56138454238
8	0.034154418856	-0.552243727725
9	0.039228491485	-0.542472465895
10	0.044146433473	-0.533331593033
11	0.049220506102	-0.523245136719
12	0.054216511548	-0.513473874889
13	0.059212520719	-0.503072165884
14	0.064130470157	-0.492670515087
15	0.069126471877	-0.482584029669
16	0.074200548232	-0.4715519608
17	0.079118490219	-0.460519891931
18	0.084192559123	-0.448542210506
19	0.089110501111	-0.436564529082
20	0.094106510282	-0.425217265729
21	0.099180579185	-0.412609195337
22	0.104176588356	-0.399370706873
23	0.10925065726	-0.386132218409
24	0.114168606699	-0.372893729946
25	0.119164608419	-0.359340046998
26	0.12416061759	-0.344840751495
27	0.129078567028	-0.330026261508
28	0.134152635932	-0.315211771522
29	0.139226704836	-0.299766863463
30	0.144144654274	-0.284006760921
31	0.149218723178	-0.267931463895
32	0.154136657715	-0.251856166869
33	0.159054607153	-0.234835242736
34	0.16420674324	-0.218129542191
35	0.169124677777	-0.200793438125
36	0.174198746681	-0.183772528544
37	0.179116696119	-0.165806006407
38	0.184190765023	-0.148469902342
39	0.189186781645	-0.130188185722
40	0.194104716182	-0.112221670861
41	0.199178785086	-0.094255156
42	0.204174801707	-0.076603842899
43	0.209170803428	-0.058672383602
44	0.214166805148	-0.040842685848
45	0.21916282177	-0.023106666049
46	0.22415882349	-0.005495545793
47	0.228764519095	0.011033896953
48	0.233916655183	0.028338707125
49	0.238756537437	0.045358483476
50	0.243830606341	0.062045714003
51	0.248826622963	0.078457407653
52	0.253822624683	0.094596740382
53	0.256476759911	0.102973615867
54	0.264204949141	0.126181927044
55	0.269122898579	0.141295007779
56	0.274118900299	0.156033391249
57	0.27911490202	0.170397077454
58	0.284188985825	0.18451095093
59	0.289184987545	0.19837502623
60	0.294102936983	0.211770719034
61	0.299098938704	0.225041512749
62	0.304172992706	0.238218621234
63	0.309090942144	0.251083460171
64	0.314165025949	0.263479945716
65	0.31916102767	0.27590765967
66	0.32415702939	0.288335373625
67	0.329153031111	0.300450803479
68	0.334227114916	0.31228523585
69	0.339145064354	0.324119668221
70	0.344141066074	0.335954071488
71	0.349215120077	0.347351364326
72	0.354133069515	0.358967197826
73	0.35920715332	0.37027077633
74	0.364203155041	0.381730496883
75	0.369121104479	0.393127760617
76	0.374117106199	0.404525053455
77	0.379191190004	0.415797403548
78	0.384187191725	0.427350809332
79	0.389183193445	0.438029877841
80	0.394179195166	0.449208571808
81	0.399175196886	0.460168696009
82	0.404171228409	0.471066334285
83	0.409167230129	0.482182571432
84	0.41416323185	0.493423722219
85	0.41915923357	0.503790564835
86	0.424155235291	0.514407176524
87	0.429151237011	0.525179959368
88	0.434147268534	0.536452338565
89	0.439143270254	0.546694267541
90	0.444217324257	0.556904939003
91	0.44921335578	0.566865841392
92	0.454131275415	0.577763479669
93	0.459205359221	0.588286435232
94	0.464123308659	0.598247337621
95	0.469197362661	0.60827069683
96	0.474193394184	0.617732002866
97	0.479189395905	0.628192501608
98	0.484185397625	0.637903634924
99	0.489181399345	0.647708366159
100	0.494177401066	0.657762982883
101	0.499173402786	0.66722423071
102	0.504247486591	0.675904913805
103	0.509087383747	0.68446068326
104	0.514161467552	0.693078851327
105	0.519157469273	0.701915647369
106	0.524153470993	0.711283297278
107	0.529227495193	0.719995179679
108	0.534223556519	0.726989645045
109	0.539141476154	0.735888897907
110	0.544215559959	0.744538323488
111	0.54921156168	0.752344669309
112	0.554129481316	0.759557704441
113	0.559125483036	0.767301651649
114	0.564199566841	0.775295309722
115	0.569117546082	0.782258575782
116	0.574191570282	0.789284298662
117	0.579187572002	0.796528591309
118	0.584105551243	0.802679976914
119	0.589257657528	0.810205296148
120	0.594253659248	0.81538874656
121	0.599249660969	0.82300772192
122	0.604167640209	0.828940537758
123	0.60916364193	0.834810896777
124	0.61415964365	0.840400287416
125	0.61915564537	0.84623938892
126	0.624229729176	0.850923242979
127	0.629147648811	0.857137085404
128	0.634143650532	0.859884894453
129	0.639139711857	0.866379763465
130	0.644135713577	0.874435936566
131	0.649131715298	0.876996433362
132	0.654205739498	0.880462466739
133	0.659201800823	0.884927692823
134	0.664197802544	0.890298455488
135	0.669193804264	0.8967933245
136	0.674267888069	0.899197650142
137	0.67926388979	0.901633233298
138	0.684181809425	0.905411550775
139	0.68925589323	0.909189810045
140	0.694173812866	0.914029718842
141	0.699169814587	0.916683871765
142	0.704165816307	0.919025798794
143	0.709161877632	0.921679951716
144	0.714235901833	0.926488661207
145	0.719153881073	0.927675224375
146	0.724149882793	0.931453483645
147	0.729145884514	0.934544834308
148	0.734219968319	0.935606483836
149	0.739215970039	0.940602563787
150	0.74421197176	0.943537743296
151	0.749129891396	0.945879612118
152	0.754203975201	0.945348816458
153	0.759199976921	0.950969348196
154	0.764195978642	0.95106306253
155	0.769191980362	0.953092705458
156	0.774109959602	0.953529844992
157	0.779262065887	0.957433017902
158	0.784258067608	0.95946266083
159	0.789254069328	0.96199195832
160	0.794172048569	0.964333827142
161	0.799168050289	0.966051244177
162	0.80416405201	0.966519641224
163	0.80916005373	0.968799053226
164	0.81415605545	0.969891960267
165	0.819152057171	0.972202629782
166	0.824070036411	0.973607762717
167	0.829222142696	0.975450093392
168	0.834218144417	0.977167510428
169	0.839136123657	0.976667855866
170	0.844210147858	0.978822470643
171	0.849206149578	0.978260417469
172	0.854202210903	0.981476623565
173	0.859120130539	0.983287696727
174	0.864116132259	0.984005862847
175	0.869268298149	0.986722530797
176	0.874186217785	0.986878643744
177	0.879182219505	0.988720916212
178	0.884178221226	0.985129969195
179	0.889252305031	0.99009484984
180	0.894170224667	0.991031643935
181	0.899166226387	0.99068810232
182	0.904162287712	0.991000328213
183	0.909236311913	0.994310248643
184	0.914232313633	0.990969128907
185	0.919150292873	0.994684989564
186	0.924146294594	0.995153328404
187	0.929220378399	0.997120514512
188	0.934216380119	0.997370341793
189	0.939134299755	0.9983695345
190	0.94420838356	0.998213421553
191	0.949204385281	0.996090122499
192	0.954200387001	0.999337527901
193	0.959196388721	1.000524149276
194	0.964270472527	1.002304023132
195	0.969188392162	1.001585740596
196	0.974262475967	0.999899581075
197	0.979180455208	0.999212614261
198	0.984254479408	1.001866767183
199	0.989250481129	1.004489720799
200	0.994168460369	1.006488222629
201	0.99916446209	1.00439612288
202	1.004160523415	1.00817438215
203	1.009234547615	1.006488222629
204	1.014152526855	1.004801946692
205	1.019226551056	1.007955754176
206	1.024222612381	1.007175073028
207	1.029218554497	1.008205581456
208	1.034214615822	1.00745621603
209	1.039210557938	1.00733130239
210	1.044206619263	1.008486608043
