Point	Potential(V)	Current(milliAmp)
1	0.000041058287	-0.581557513215
2	0.004256439395	-0.571155804209
3	0.009252446704	-0.563906156458
4	0.01432651747	-0.556026119739
5	0.019244460389	-0.54814608302
6	0.024240467697	-0.539635599125
7	0.029236476868	-0.53207075689
8	0.034232482314	-0.523560331203
9	0.039150428027	-0.5153651
10	0.044146433473	-0.507169810589
11	0.049220506102	-0.498028937727
12	0.054216511548	-0.48951851204
13	0.05913445726	-0.480377610074
14	0.064130470157	-0.4715519608
15	0.069204539061	-0.46178069897
16	0.074200548232	-0.45200943714
17	0.079196549952	-0.44223817531
18	0.084192559123	-0.431521300925
19	0.089110501111	-0.421119650127
20	0.094184577465	-0.409457163187
21	0.099180579185	-0.398109899834
22	0.104176588356	-0.386132218409
23	0.109172597528	-0.374469731469
24	0.114168606699	-0.361546466593
25	0.119164608419	-0.348938367097
26	0.124238684773	-0.335384684149
27	0.12915661931	-0.321200612234
28	0.134152635932	-0.307331705699
29	0.139226704836	-0.292832410196
30	0.144144654274	-0.277702725725
31	0.149218723178	-0.262257817667
32	0.154136657715	-0.246497744229
33	0.159132674336	-0.230422418099
34	0.16420674324	-0.213716717553
35	0.169202744961	-0.197326211492
36	0.174198746681	-0.18030530191
37	0.179116696119	-0.162969183293
38	0.184190765023	-0.145948273712
39	0.189108714461	-0.128612169647
40	0.194260850549	-0.110330460302
41	0.199178785086	-0.092994348961
42	0.204174801707	-0.07471263234
43	0.209170803428	-0.057454595662
44	0.214166805148	-0.039718572225
45	0.21916282177	-0.022107453333
46	0.22415882349	-0.004590009212
47	0.228842586279	0.011857332538
48	0.233838587999	0.029108301533
49	0.238756537437	0.046064735216
50	0.243752539158	0.062704457378
51	0.248826622963	0.07908448606
52	0.253822624683	0.095141476777
53	0.256320625544	0.102938778582
54	0.264126896858	0.126619081129
55	0.269200950861	0.141638491186
56	0.274118900299	0.156251975568
57	0.279192984104	0.170490748133
58	0.284188985825	0.184417280252
59	0.289184987545	0.197812973056
60	0.294102936983	0.211302336538
61	0.299176990986	0.224417002755
62	0.304094940424	0.237219413975
63	0.309169024229	0.249678327236
64	0.314165025949	0.261949899141
65	0.31916102767	0.274127814919
66	0.32415702939	0.285868562059
67	0.329153031111	0.297297054203
68	0.334070980549	0.308788003167
69	0.339223116636	0.320216495311
70	0.344141066074	0.331613759045
71	0.349137067795	0.342573854141
72	0.354133069515	0.353471521521
73	0.35920715332	0.364431645721
74	0.364203155041	0.375141942641
75	0.369199156761	0.386039610021
76	0.374195158482	0.396656250814
77	0.379191190004	0.4069294082
78	0.38410910964	0.417296221713
79	0.389183193445	0.427663064329
80	0.394179195166	0.437655166024
81	0.399175196886	0.44786586659
82	0.404171228409	0.457795569673
83	0.409167230129	0.467881356599
84	0.41416323185	0.477373861941
85	0.41915923357	0.4875533632
86	0.424155235291	0.497389351949
87	0.429229319096	0.507131684572
88	0.434225320816	0.5169052165
89	0.439299404621	0.526491436176
90	0.444139271975	0.535609200597
91	0.44921335578	0.545132963452
