Point	Potential(mV)	Current(microAmp)
1	249.997556209564	16.362228052458
2	254.212945699692	20.327852325863
3	259.286999702454	24.32470137137
4	264.283001422882	28.384003599058
5	269.279003143311	32.380852644565
6	274.275034666061	36.471377825365
7	279.27103638649	40.686805732548
8	284.267038106918	44.902233639732
9	289.263039827347	49.273789045401
10	294.259041547775	53.676569223171
11	299.255073070526	58.266701671528
12	304.329127073288	62.981736846268
13	309.247076511383	67.852895881515
14	314.321160316467	72.880182415247
15	319.317162036896	78.032375313342
16	324.235111474991	83.371916844044
17	329.309165477753	88.836357463151
18	334.305167198181	94.519382400904
19	339.30116891861	100.296078016981
20	344.29720044136	106.322579085827
21	349.293202161789	112.442750832997
22	354.211151599884	118.75028576469
23	359.285205602646	125.213933642954
24	364.281207323074	131.802502437495
25	369.277238845825	138.578398036771
26	374.273240566254	145.447993418202
27	379.269242286682	152.442473336123
28	384.265244007111	159.561866894364
29	389.261245727539	166.743702720851
30	394.25727725029	174.050452187657
31	399.331331253052	181.419643922709
32	404.249280691147	188.820064067841
33	409.323334693909	196.220469661057
34	414.31936621666	203.683346626349
35	419.315367937088	211.146209039725
36	424.311369657516	218.577857594937
37	429.229319095612	225.947049329989
38	434.303373098373	233.25378424488
39	439.299404621124	240.466848481447
40	444.217324256897	247.554999077693
41	449.291408061981	254.518265137449
42	454.28740978241	261.325389146805
43	459.283411502838	267.945171799511
44	464.279413223267	274.377613095567
45	469.275444746017	280.560227110982
46	474.271446466446	286.493072053418
47	479.189395904541	292.207318125293
48	484.341531991959	297.609309200197
49	489.337533712387	302.667816868052
50	494.255483150482	307.414069538936
51	499.329566955566	311.84806721285
52	504.325568675995	315.907382173464
53	509.243488311768	319.560756906867
54	514.239490032196	322.9018766433
55	519.235491752625	325.837056152523
56	524.309575557709	328.366324538365
57	529.305577278137	330.520852003247
58	534.223556518555	332.238269038498
59	539.297580718994	333.580945152789
60	544.293582439423	334.54893855378
61	549.21156167984	335.110991727561
62	554.363667964935	335.329561494291
63	559.281647205353	335.142220137641
64	564.277648925781	334.642623784021
65	569.351732730865	333.76831561327
66	574.269652366638	332.612951751798
67	579.343736171722	331.207818817347
68	584.261655807495	329.521659296006
69	589.335739612579	327.554444083944
70	594.331741333008	325.399887515232
71	599.327743053436	322.99553276971
72	604.245722293854	320.466293487698
73	609.241724014282	317.780912155285
74	614.315748214722	314.939388772473
75	619.233727455139	312.03543767333
76	624.307811260223	309.006572933868
77	629.303812980652	305.915251374245
78	634.377837181091	302.730273688212
79	639.295816421509	299.576495308429
80	644.291818141937	296.391517622396
81	649.287819862366	293.144083116204
82	654.283821582794	289.92784791626
83	659.357905387878	286.742870230228
84	664.353907108307	283.557863440365
85	669.349908828735	280.372885754332
86	674.345910549164	277.281564194709
87	679.263889789581	274.159043328837
88	684.337913990021	271.130178589374
89	689.333915710449	268.132542259991
90	694.251894950867	265.166134340689
91	699.325978755951	262.262154137716
92	704.321980476379	259.420659858733
93	709.317982196808	256.641593296081
94	714.392066001892	253.956211963668
95	719.388067722321	251.270830631256
96	724.384069442749	248.647877015173
97	729.380071163177	246.118637733161
98	734.376072883606	243.651840719394
99	739.293992519379	241.216257563792
100	744.290053844452	238.81190281827
101	749.28605556488	236.501233302988
102	754.36007976532	234.221777645871
103	759.434163570404	232.004778808914
104	764.352142810822	229.818993830122
105	769.34814453125	227.66443726141
106	774.344146251678	225.634794333018
107	779.340147972107	223.605136852711
108	784.336149692535	221.669164602645
109	789.332151412964	219.733192352578
110	794.328153133392	217.828448512591
111	799.324154853821	216.01737535093
112	804.320156574249	214.206302189268
113	809.316158294678	212.457671295851
114	814.390242099762	210.74028336443
115	819.308221340179	209.085337701254
116	824.382245540619	207.430392038077
117	829.378247261047	205.806674784981
118	834.296226501465	204.276628210209
119	839.292228221893	202.715353225358
120	844.366312026978	201.216535060667
121	849.28423166275	199.748945306055
122	854.358315467834	198.343797819689
123	859.354317188263	196.907436475158
124	864.350318908691	195.564745808952
125	869.268298149109	194.222055142745
126	874.342322349548	192.910578334704
127	879.260301589966	191.630344488658
128	884.334325790405	190.350096090697
129	889.40840959549	189.101090654731
130	894.326388835907	187.91452748701
131	899.400413036346	186.696735909209
132	904.318392276764	185.572615009733
133	909.392476081848	184.417280252092
134	914.388477802277	183.324387762696
135	919.384479522705	182.26272368338
136	924.302399158478	181.138617335819
137	929.376482963562	180.076953256503
138	934.37248468399	179.077731445432
139	939.368486404419	178.047295776196
140	944.364488124847	177.04808851704
141	949.360489845276	176.111323526129
142	954.356491565704	175.112116266973
143	959.274470806122	174.206579686143
144	964.348554611206	173.269814695232
145	969.344556331635	172.395506524481
146	974.340558052063	171.48996994365
147	979.336559772491	170.646875631064
148	984.33256149292	169.772567460313
149	989.328563213348	168.929487699643
150	994.402647018433	168.117621797137
151	999.398589134216	167.305770446546
152	999.398589134216	167.274542036466
153	995.651662349701	164.651602972299
154	990.733683109283	163.215241627768
155	985.659599304199	161.966221639886
156	980.663597583771	160.748430062085
157	975.667595863342	159.655537572689
158	970.671594142914	158.593873493373
159	965.675592422485	157.563437824138
160	960.757672786713	156.626687385142
161	955.683588981628	155.658693984151
162	950.6875872612	154.72192899324
163	945.691585540771	153.878849232569
164	940.773606300354	152.942084241658
165	935.621500015259	152.130218339153
166	930.703520774841	151.224681758322
167	925.629496574402	150.444058817811
168	920.711517333984	149.600964505225
169	915.6374335289	148.789113154635
170	910.719513893127	147.977247252129
171	905.645430088043	147.196609759703
172	900.649428367615	146.447200677358
