Point	Potential(V)	Current(milliAmp)
1	0.000197183574	-0.533961982001
2	0.004256439395	-0.524821109138
3	0.009174384177	-0.517256266903
4	0.014248454012	-0.510637066327
5	0.019244460389	-0.503702613059
6	0.024240467697	-0.497083354276
7	0.02915841341	-0.490464095492
8	0.034232482314	-0.484790449264
9	0.039228491485	-0.478486414067
10	0.044224496931	-0.470291153761
11	0.049142442644	-0.462726311525
12	0.054216511548	-0.455476663774
13	0.059212520719	-0.448227016022
14	0.064130470157	-0.440031755716
15	0.069204539061	-0.430890911957
16	0.074200548232	-0.42269565165
17	0.079274617136	-0.41418519686
18	0.084192559123	-0.405044323998
19	0.089266628027	-0.395588285755
20	0.094184577465	-0.386132218409
21	0.099180579185	-0.375415344024
22	0.104176588356	-0.365013693227
23	0.109172597528	-0.354296818841
24	0.114168606699	-0.343579944456
25	0.119164608419	-0.331602263032
26	0.12416061759	-0.319624581607
27	0.12915661931	-0.306701316731
28	0.134152635932	-0.293462828267
29	0.139148637652	-0.280224339804
30	0.144144654274	-0.266670656856
31	0.149140655994	-0.252171361353
32	0.154214724898	-0.237356871367
33	0.159132674336	-0.222227172344
34	0.164128676057	-0.206467069802
35	0.169124677777	-0.190391758224
36	0.174120694399	-0.174316461198
37	0.179194763303	-0.157925955136
38	0.184268832207	-0.140905045555
39	0.189108714461	-0.123884150526
40	0.194182783365	-0.106548039184
41	0.199178785086	-0.089842331363
42	0.20425285399	-0.047056539188
43	0.209170803428	-0.055112690461
44	0.214166805148	-0.037751375203
45	0.21916282177	-0.020421282898
46	0.224236890674	-0.003153641501
47	0.228842586279	0.013029143702
48	0.233838587999	0.03002358244
49	0.238912656903	0.046755154472
50	0.243908673525	0.063182684244
51	0.248826622963	0.079328354332
52	0.253822624683	0.095176314062
53	0.256242573261	0.102957776107
54	0.264126896858	0.126025799545
55	0.269200950861	0.140795411426
56	0.274118900299	0.155159083079
57	0.27911490202	0.169179285876
58	0.284267038107	0.182824776857
59	0.289106935263	0.196064342163
60	0.294180989265	0.209022880881
61	0.299098938704	0.221637936193
62	0.304172992706	0.233909522649
63	0.309169024229	0.245868839556
64	0.314165025949	0.257640815107
65	0.31916102767	0.269162963377
66	0.324235111475	0.280372885754
67	0.329231113195	0.291426666081
68	0.334149062634	0.302136992104
69	0.339145064354	0.312878517434
70	0.344141066074	0.323401472997
71	0.349215120077	0.333518488333
72	0.354133069515	0.343510619132
73	0.35920715332	0.353533978341
74	0.364125102758	0.36349488073
75	0.369199156761	0.372893729946
76	0.374117106199	0.382261321647
77	0.379191190004	0.392347137677
78	0.384187191725	0.401589844842
79	0.389183193445	0.41058275383
80	0.394179195166	0.419700576458
81	0.399097144604	0.428693485446
82	0.404171228409	0.437686394434
83	0.409167230129	0.446429505246
84	0.41416323185	0.455016503111
85	0.41915923357	0.463572243461
86	0.424155235291	0.472533953143
87	0.429229319096	0.481183378724
88	0.434147268534	0.489333178848
89	0.439143270254	0.497483008076
90	0.444139271975	0.505226897076
91	0.44921335578	0.512970844284
92	0.454131275415	0.520402449183
93	0.459127306938	0.528177595697
94	0.464123308659	0.535983941518
95	0.469119310379	0.543509260751
96	0.474193394184	0.551034579985
97	0.479189395905	0.558840925805
98	0.484185397625	0.565897847991
99	0.489181399345	0.572080491111
100	0.494177401066	0.578356790356
101	0.499173402786	0.584945315495
102	0.504091382027	0.591783726122
103	0.509165406227	0.598653277848
104	0.514083385468	0.604461238254
105	0.519157469273	0.610956107266
106	0.524153470993	0.616857665591
