Point	Potential(mV)	Current(microAmp)
1	249.997556209564	21.889121853747
2	254.056811332703	26.229450668325
3	259.130865335464	30.725906981388
4	264.126896858215	35.253589885542
5	269.044816493988	39.874947106
6	273.962765932083	44.527529098559
7	279.036849737167	49.148886319017
8	284.110903739929	53.957595810061
9	289.028853178024	58.984885981772
10	294.024854898453	64.137071603909
11	299.098938703537	69.445392000489
12	304.016888141632	74.784933531191
13	309.090942144394	80.405501648784
14	314.008891582489	86.275875219144
15	319.082975387573	92.333604698069
16	324.000924825668	98.578682809603
17	329.07497882843	104.917431599461
18	334.149062633514	111.474764707964
19	339.145064353943	118.40680235764
20	344.063013792038	125.557417050004
21	349.059015512466	132.801709696651
22	354.055017232895	140.233343699947
23	359.051018953323	147.821119753644
24	364.047020673752	155.752364662476
25	369.043052196503	163.870965479873
26	374.039053916931	172.114479937591
27	379.113107919693	180.482878931798
28	384.031057357788	189.069862244651
29	389.027059078217	197.812973055989
30	394.023060798645	206.774653634056
31	399.097144603729	215.798791032284
32	404.093146324158	224.822928430513
33	409.011095762253	234.003193327226
34	414.085179567337	243.339585722424
35	419.00309920311	252.738420385867
36	424.077183008194	262.168498011306
37	429.151237010956	271.473661996424
38	434.069186449051	280.841282801703
39	439.065217971802	290.271331323311
40	444.06121969223	299.638952128589
41	449.135273694992	308.912887703627
42	454.053223133087	318.030710332096
43	459.049224853516	327.023619320244
44	464.045226573944	336.047756718472
45	469.119310379028	344.82209593989
46	474.037259817123	353.409064700827
47	479.111313819885	361.715035978705
48	484.02926325798	369.771179975942
49	489.103347063065	377.733667846769
50	494.099348783493	385.321414796636
51	499.095380306244	392.628164263442
52	504.013299942017	399.528973503038
53	509.087383747101	406.055070925504
54	514.005303382874	412.36259858124
55	519.001305103302	418.326671933755
56	524.075388908386	423.79109072499
57	529.071390628815	428.755942266434
58	534.067392349243	433.314853580669
59	538.985371589661	437.592738308012
60	544.0593957901	441.402225987986
61	549.055397510529	444.680888904259
62	554.129481315613	447.428727056831
63	559.125483036041	449.770624982193
64	564.043462276459	451.737840194255
65	569.039463996887	453.236658358946
66	574.035465717316	454.235851066187
67	579.1095495224	454.735476523638
68	584.027469158173	454.797904239967
69	589.023470878601	454.579334473237
70	594.01947259903	453.954824479297
71	599.093556404114	452.893174951896
72	604.011535644531	451.394356787205
73	609.085559844971	449.552055215463
74	614.159643650055	447.491183876991
75	619.077563285828	445.180485257879
76	624.073624610901	442.526332335547
77	629.14764881134	439.559924416244
78	634.065628051758	436.343718320131
79	639.061629772186	433.096283813939
80	644.135713577271	429.661478847265
81	649.131715297699	426.008104113862
82	654.127717018127	422.167388023809
83	659.123718738556	418.232986703515
84	664.119720458984	414.361042203382
85	669.115722179413	410.395412473008
86	674.03370141983	406.304898206145
87	679.10772562027	402.151898015291
88	684.103727340698	397.998926928267
89	689.099729061127	393.939641071483
90	694.0957903862	389.88032611087
91	699.091792106628	385.821040254086
92	704.165816307068	381.668040063232
93	709.083795547485	377.639982616529
94	714.15787935257	373.736809706315
95	719.075798988342	369.896093616262
96	724.149882793427	366.024120012298
97	729.067802429199	362.152175512165
98	734.141886234283	358.342687832192
99	739.059805870056	354.720541508868
100	744.13388967514	351.160852005705
101	749.129891395569	347.601162502542
102	754.125893115997	344.041472999379
103	759.121894836426	340.637896442786
104	764.117956161499	337.390461936593
105	769.113957881927	334.14299832657
106	774.109959602356	330.958020640537
107	779.183983802795	327.710586134344
108	784.180045127869	324.681721394882
109	789.176046848297	321.715313475579
110	794.09396648407	318.842561682686
111	799.168050289154	315.969838993624
112	804.164052009583	313.097087200731
113	809.081971645355	310.318049741909
114	814.156055450439	307.726324535906
115	819.074034690857	305.134628433734
116	824.226140975952	302.574131637812
117	829.144060611725	300.01366394572
118	834.062039852142	297.546852380037
119	839.214146137238	295.204954454675
120	844.132125377655	292.894255835563
121	849.128127098084	290.614814730361
122	854.202210903168	288.304145215079
123	859.12013053894	286.087131826207
124	864.116132259369	284.026260487735
125	869.190216064453	281.902932329103
126	874.186217784882	279.904517810792
127	879.104137420654	277.84361736849
128	884.178221225739	275.813974440098
129	889.174222946167	273.971672868356
130	894.170224666595	272.129371296614
131	899.088203907013	270.255870418623
132	904.162287712097	268.413568846881
133	909.158289432526	266.60249568522
134	914.154291152954	264.916307060048
135	919.150292873383	263.230147538707
136	924.146294593811	261.543988017365
137	929.064214229584	259.857799392194
138	934.138298034668	258.234096691012
139	939.134299755096	256.766506936401
140	944.130301475525	255.298888077959
141	949.126303195953	253.768841503188
142	954.200387001038	252.207595622167
143	959.118366241455	250.740005867556
144	964.192390441895	249.366072239354
145	969.110369682312	248.054595431313
146	974.262475967407	246.649462496862
147	979.180455207825	245.275557972491
148	984.176456928253	243.932867306285
149	989.172458648682	242.715075728483
150	994.16846036911	241.466070292518
151	999.164462089539	240.217050304636
152	995.963871479034	235.970393987373
153	990.967869758606	233.628496062011
154	986.049950122833	231.723737670109
155	981.053948402405	229.912664508447
156	975.979864597321	228.257718845271
157	970.983862876892	226.540330913849
158	965.987861156464	224.916613660753
159	960.991859436035	223.449009354226
160	955.995857715607	222.012648009695
161	950.921773910522	220.576286665164
162	945.925772190094	219.139910768718
163	941.007792949677	217.734763282351
164	935.933768749237	216.454529436305
165	930.937707424164	215.174281038344
166	926.019787788391	213.894047192298
167	920.945703983307	212.582584936172
168	915.949702262878	211.27110812813
169	910.95370054245	210.115773370489
170	905.879616737366	208.960438612849
171	900.961697101593	207.742647035047
172	895.965695381165	206.556083867326
173	891.047716140747	205.307063879445
174	885.973691940308	204.245399800129
175	880.977690219879	203.152507310733
176	875.981628894806	201.997172553092
177	870.985627174377	200.841837795451
178	865.989625453949	199.65527462773
179	860.993623733521	198.624824406579
180	855.919539928436	197.594388737343
181	851.001620292664	196.470282389782
182	846.005618572235	195.346161490306
183	841.009616851807	194.25326900091
184	836.013615131378	193.222833331674
185	830.939531326294	192.192397662438
186	826.021611690521	191.099505173042
187	820.947527885437	190.006627235562
188	815.951526165009	188.913734746166
189	810.95552444458	187.85207066685
190	805.959463119507	186.884077265859
191	801.041543483734	185.822427738458
192	796.045541763306	184.698306838982
193	791.049540042877	183.542972081341
194	785.897374153137	182.57497868035
195	780.979454517365	181.575771421194
196	775.983452796936	180.482878931798
197	770.987451076508	179.327544174157
198	765.913367271423	178.203423274681
199	760.917365550995	177.172987605445
200	755.921363830566	176.111323526129
201	750.925362110138	175.018431036733
202	745.929360389709	173.831867869012
203	740.933358669281	172.707761521451
204	736.015379428864	171.614869032055
205	730.863273143768	170.521976542659
206	725.945293903351	169.366641785018
207	720.949292182922	168.148850207217
208	715.953290462494	166.899830219336
209	710.957288742065	165.775723871775
210	705.961287021637	164.620374562219
211	700.887203216553	163.402597536333
212	695.891201496124	162.122349138372
213	690.973281860352	160.810886882246
214	685.977280139923	159.593095304444
215	681.059300899506	158.344075316563
216	675.90719461441	157.063841470517
217	670.989215373993	155.658693984151
218	665.993213653564	154.284774907865
219	660.91912984848	152.973312651739
220	656.001210212708	151.599393575452
221	650.927126407623	150.194246089086
222	646.009206771851	148.695427924395
223	640.935122966766	147.165381349623
224	635.939121246338	145.760248415172
225	630.943119525909	144.292658660561
226	626.025140285492	142.762612085789
227	620.873034000397	141.138880280778
228	615.955114364624	139.452720759436
229	610.88103055954	137.922674184665
230	605.963051319122	136.330170789734
231	600.889027118683	134.644011268392
232	595.971047878265	132.864151964895
233	590.975046157837	131.084307213314
234	585.900962352753	129.398133140057
235	580.98304271698	127.680745208636
236	575.908958911896	125.807215226814
237	570.912957191467	123.933699796908
238	565.995037555695	121.997720270883
239	560.842871665955	120.155425975099
240	555.924952030182	118.250674859155
241	551.006972789764	116.345923743211
242	545.932948589325	114.253823994659
243	540.936887264252	112.22417379031
244	535.862863063812	110.22575199604
245	530.944883823395	108.227322925813
246	525.948882102966	106.166451587342
247	520.952880382538	103.980673884507
248	515.956878662109	101.794896181673
249	510.882794857025	99.734017567243
250	505.964875221252	97.641917818692
251	500.968873500824	95.456140115857
252	495.89478969574	93.20791286882
253	490.898787975311	90.990906755906
254	485.824704170227	88.867585873231
255	480.906754732132	86.650579760317
256	475.910753011703	84.43358092336
257	470.992803573608	82.154125266243
258	465.918749570847	79.905898019206
259	460.922747850418	77.688891906291
260	455.926716327667	75.534342613537
261	450.930714607239	73.317336500622
262	445.93471288681	70.97543857526
263	440.860629081726	68.758432462346
264	435.942709445953	66.603883169591
