Point	Potential(V)	Current(milliAmp)
1	0.000041058287	-0.378252152586
2	0.004256439395	-0.364068080671
3	0.009174384177	-0.35555762588
4	0.014248454012	-0.349883979652
5	0.019244460389	-0.345155945979
6	0.024162406102	-0.340743135894
7	0.029236476868	-0.336645491188
8	0.034232482314	-0.332863070071
9	0.039228491485	-0.328765454469
10	0.044224496931	-0.324983033352
11	0.049220506102	-0.320885388646
12	0.054138448089	-0.316787773045
13	0.05913445726	-0.312374933856
14	0.06420852989	-0.308277318254
15	0.069204539061	-0.304179702653
16	0.074200548232	-0.299136474496
17	0.079196549952	-0.294408440823
18	0.08411449939	-0.289365183562
19	0.089188568294	-0.283691566437
20	0.094106510282	-0.278333114693
21	0.099180579185	-0.272344303085
22	0.104098528624	-0.266040238785
23	0.109172597528	-0.259736203589
24	0.114168606699	-0.252801750321
25	0.119242675602	-0.245552131673
26	0.12416061759	-0.23767206585
27	0.12915661931	-0.229792014579
28	0.134152635932	-0.220651156269
29	0.139148637652	-0.211825506995
30	0.144144654274	-0.202054245165
31	0.149140655994	-0.192282983335
32	0.154214724898	-0.181881317985
33	0.159132674336	-0.17053404008
34	0.164128676057	-0.159501971211
35	0.169124677777	-0.147524289787
36	0.174120694399	-0.134916204843
37	0.179194763303	-0.122308134451
38	0.184112712741	-0.109069653263
39	0.189108714461	-0.095515963039
40	0.194104716182	-0.081647078332
41	0.199178785086	-0.067915098043
42	0.204096734524	-0.053676321841
43	0.209170803428	-0.039250193367
44	0.214166805148	-0.02473038694
45	0.21916282177	-0.010116903468
46	0.222363382578	-0.000530708689
47	0.228842586279	0.01847331805
48	0.233916655183	0.032978448871
49	0.238912656903	0.047306224587
50	0.243830606341	0.061386963353
51	0.248904675245	0.07522701344
52	0.253822624683	0.088772518211
53	0.258818626404	0.101994992292
54	0.259286999702	0.102954611066
55	0.269200950861	0.127118692035
56	0.274118900299	0.139296593261
57	0.279192984104	0.151037340402
58	0.284188985825	0.162309705047
59	0.289106935263	0.173207357875
60	0.294102936983	0.18369909958
61	0.299176990986	0.193816114916
62	0.304172992706	0.203620889806
63	0.309169024229	0.212957282201
64	0.314165025949	0.2219814196
65	0.31916102767	0.230693302001
66	0.324235111475	0.239061715547
67	0.329153031111	0.247211515671
68	0.334149062634	0.255017861491
69	0.339145064354	0.262605637545
70	0.344141066074	0.270006072242
71	0.349137067795	0.277156679658
72	0.3542111516	0.284119945718
73	0.359129101038	0.290802156087
74	0.364047020674	0.297297054203
75	0.369121104479	0.303542125039
76	0.374195158482	0.309724768158
77	0.379191190004	0.315688812407
78	0.384187191725	0.321465515299
79	0.389183193445	0.327148532961
80	0.39425727725	0.332675408572
81	0.399175196886	0.33798374352
82	0.404171228409	0.343135936419
83	0.409167230129	0.348194444086
84	0.41416323185	0.353159266524
85	0.41915923357	0.357999204425
86	0.424233317375	0.36268302938
87	0.429151237011	0.36736682523
88	0.434147268534	0.372550246539
89	0.439221322536	0.377234042389
90	0.444139271975	0.380949873943
91	0.449135273695	0.384728133213
92	0.454131275415	0.388506421586
93	0.459205359221	0.39219102473
94	0.464123308659	0.39584437036
95	0.469197362661	0.399216718506
96	0.474115312099	0.402495381422
97	0.47911131382	0.405711616622
98	0.484185397625	0.408834137488
99	0.489181399345	0.411894230638
100	0.494177401066	0.414829410147
101	0.499173402786	0.41776461876
102	0.504247486591	0.420512427809
103	0.509243488312	0.423291494371
104	0.514083385468	0.425883219577
105	0.519157469273	0.427944090916
106	0.524153470993	0.429817591794
107	0.529149472713	0.432221946539
108	0.534145474434	0.434844900155
109	0.539141476154	0.437592738308
110	0.544215559959	0.44021566282
111	0.54921156168	0.442214077339
112	0.5542075634	0.442963500973
113	0.559203565121	0.444181292551
114	0.564199566841	0.445961137302
115	0.569195568562	0.447959551821
116	0.574191570282	0.449895538623
117	0.579109549522	0.451612926554
118	0.584183573723	0.453142973129
119	0.589179635048	0.454548106063
120	0.594097554684	0.455859582871
121	0.599249660969	0.456983689219
122	0.604167640209	0.458139023976
123	0.609085559845	0.459356815554
124	0.61415964365	0.460605835542
125	0.619233727455	0.461698742583
126	0.624073624611	0.462822848931
127	0.629225730896	0.463790842332
128	0.634143650532	0.464633922093
129	0.639139711857	0.465320859803
130	0.644135713577	0.467381760245
131	0.649209737778	0.469224061817
132	0.654205739498	0.469380174764
