Point	Potential(V)	Current(milliAmp)
1	0.000041058287	-0.55980856996
2	0.004256439395	-0.549722113647
3	0.009252446704	-0.54184201872
4	0.014248454012	-0.534592370968
5	0.019166398793	-0.527657975908
6	0.024162406102	-0.521038717125
7	0.029236476868	-0.513158680405
8	0.034232482314	-0.505278585479
9	0.039228491485	-0.497083354276
10	0.044224496931	-0.489833706524
11	0.049142442644	-0.482268835185
12	0.054138448089	-0.474388769362
13	0.05913445726	-0.465247925604
14	0.064130470157	-0.457367859781
15	0.069126471877	-0.448542210506
16	0.074200548232	-0.439401366748
17	0.079196549952	-0.42931488133
18	0.084192559123	-0.419228425017
19	0.089188568294	-0.409772357671
20	0.094184577465	-0.399055512389
21	0.099180579185	-0.388338638004
22	0.104176588356	-0.376991345547
23	0.109172597528	-0.365644082194
24	0.114168606699	-0.35366640077
25	0.119164608419	-0.341688719345
26	0.12416061759	-0.328450259985
27	0.12915661931	-0.314896547934
28	0.134152635932	-0.301027670503
29	0.139148637652	-0.287158793071
30	0.144144654274	-0.272659497568
31	0.149140655994	-0.257845007582
32	0.154136657715	-0.242400099523
33	0.159210726619	-0.226955206017
34	0.16420674324	-0.210879894439
35	0.169124677777	-0.194489388377
36	0.174198746681	-0.178098882316
37	0.179116696119	-0.161077972734
38	0.184112712741	-0.143741868669
39	0.189186781645	-0.126720959088
40	0.194104716182	-0.109384855023
41	0.199256852269	-0.091733541922
42	0.204096734524	-0.012365131624
43	0.209170803428	-0.056611508626
44	0.214166805148	-0.039000387915
45	0.219084754586	-0.021451720386
46	0.22415882349	-0.004059177627
47	0.228842586279	0.012303887161
48	0.233760520816	0.029472514143
49	0.238834604621	0.046352939535
50	0.243830606341	0.062932485889
51	0.248826622963	0.07923017256
52	0.253822624683	0.095179479104
53	0.256320625544	0.10297044355
54	0.264204949141	0.126338054542
55	0.269122898579	0.141357464599
56	0.274196952581	0.155814821483
57	0.279192984104	0.170084822457
58	0.28411090374	0.183948897757
59	0.289106935263	0.197344590561
60	0.294102936983	0.210552927456
61	0.299098938704	0.223355338676
62	0.304094940424	0.235876723309
63	0.309169024229	0.248179509072
64	0.314165025949	0.260263739619
65	0.31916102767	0.27206694358
